1779,james,1
1801,james,2
1802,james,5
1803,james,1
1804,james,2
1805,james,1
1810,james,1
1812,james,2
1814,james,1
1818,james,3
1823,james,2
1824,james,3
1825,james,1
1826,james,2
1827,james,1
1828,james,7
1829,james,2
1831,james,3
1832,james,3
1833,james,2
1834,james,4
1835,james,2
1836,james,1
1837,james,2
1838,james,6
1839,james,3
1840,james,3
1841,james,3
1843,james,2
1844,james,11
1845,james,4
1846,james,10
1847,james,3
1848,james,2
1849,james,1
1850,james,1
1852,james,2
1853,james,3
1854,james,4
1855,james,2
1856,james,2
1857,james,1
1858,james,3
1859,james,4
1860,james,2
1861,james,1
1862,james,2
1863,james,2
1864,james,1
1867,james,2
1868,james,1
1869,james,6
1870,james,5
1871,james,1
1872,james,1
1874,james,18
1875,james,4
1876,james,73
1878,james,2
1879,james,27
1880,james,4
1881,james,4
1882,james,1
1883,james,7
1884,james,12
1885,james,4
1886,james,11
1887,james,8
1888,james,7
1889,james,39
1890,james,7
1891,james,7
1892,james,4
1893,james,17
1894,james,2
1895,james,116
1896,james,3
1897,james,1
1898,james,6
1899,james,5
1900,james,7
1901,james,21
1902,james,10
1903,james,1
1904,james,1
1906,james,29
1907,james,24
1908,james,4
1909,james,4
1910,james,9
1911,james,14
1912,james,101
1913,james,7
1914,james,3
1915,james,2
1916,james,7
1917,james,1
1918,james,1
1919,james,2
1920,james,224
1921,james,1
1922,james,5
1923,james,2
1926,james,8
1927,james,2
1928,james,5
1930,james,2
1931,james,5
1933,james,2
1934,james,2
1935,james,2
1936,james,3
1938,james,13
1939,james,1
1940,james,44
1941,james,3
1944,james,2
1946,james,3
1947,james,3
1948,james,1
1949,james,1
1951,james,6
1953,james,18
1954,james,20
1955,james,4
1956,james,3
1957,james,30
1958,james,1
1959,james,2
1961,james,2
1962,james,4
1963,james,5
1964,james,4
1965,james,1
1966,james,1
1967,james,3
1970,james,7
1971,james,2
1973,james,1
1976,james,1
1977,james,1
1978,james,3
1979,james,3
1980,james,3
1981,james,7
1982,james,2
1983,james,1
1984,james,2
1985,james,3
1987,james,2
1990,james,2
1991,james,2
1992,james,5
1995,james,1
1996,james,1
1997,james,2
1998,james,3
1999,james,2
2000,james,2
2001,james,2
2002,james,5
2003,james,4
2004,james,2
2005,james,8
2006,james,4
2007,james,1
2008,james,3
1870,lisa,1
1887,lisa,1
1908,lisa,2
1911,lisa,3
1912,lisa,7
1914,lisa,13
1917,lisa,2
1919,lisa,2
1920,lisa,5
1930,lisa,9
1939,lisa,1
1951,lisa,1
1959,lisa,1
1967,lisa,8
1968,lisa,1
1981,lisa,1
1983,lisa,1
1984,lisa,2
1987,lisa,1
1990,lisa,1
1991,lisa,4
1993,lisa,2
1994,lisa,6
1995,lisa,1
1996,lisa,1
1998,lisa,8
1999,lisa,6
2000,lisa,5
2002,lisa,4
2004,lisa,1
2007,lisa,5
2008,lisa,1
1648,mary,10
1660,mary,1
1663,mary,2
1680,mary,7
1690,mary,2
1691,mary,1
1693,mary,4
1703,mary,6
1722,mary,1
1723,mary,1
1752,mary,4
1755,mary,4
1762,mary,1
1764,mary,111
1765,mary,165
1787,mary,1
1788,mary,1
1790,mary,1
1792,mary,4
1793,mary,6
1794,mary,1
1796,mary,4
1797,mary,12
1798,mary,1
1799,mary,21
1800,mary,2
1801,mary,14
1802,mary,42
1803,mary,38
1804,mary,46
1805,mary,15
1806,mary,38
1807,mary,35
1808,mary,25
1809,mary,68
1810,mary,151
1811,mary,85
1812,mary,20
1813,mary,71
1814,mary,69
1815,mary,15
1816,mary,69
1817,mary,50
1818,mary,29
1819,mary,33
1820,mary,56
1821,mary,76
1822,mary,57
1823,mary,46
1824,mary,71
1825,mary,107
1826,mary,58
1827,mary,132
1828,mary,50
1829,mary,266
1830,mary,183
1831,mary,332
1832,mary,370
1833,mary,210
1834,mary,253
1835,mary,398
1836,mary,262
1837,mary,246
1838,mary,330
1839,mary,340
1840,mary,944
1841,mary,345
1842,mary,297
1843,mary,479
1844,mary,416
1845,mary,595
1846,mary,651
1847,mary,938
1848,mary,972
1849,mary,818
1850,mary,680
1851,mary,726
1852,mary,796
1853,mary,1115
1854,mary,1057
1855,mary,2205
1856,mary,1242
1857,mary,958
1858,mary,976
1859,mary,913
1860,mary,948
1861,mary,866
1862,mary,301
1863,mary,536
1864,mary,1074
1865,mary,600
1866,mary,779
1867,mary,1411
1868,mary,971
1869,mary,820
1870,mary,1023
1871,mary,744
1872,mary,1247
1873,mary,1175
1874,mary,1304
1875,mary,2413
1876,mary,2395
1877,mary,1150
1878,mary,1410
1879,mary,1760
1880,mary,1793
1881,mary,1977
1882,mary,1655
1883,mary,2956
1884,mary,2343
1885,mary,1895
1886,mary,3054
1887,mary,1954
1888,mary,2051
1889,mary,2870
1890,mary,2970
1891,mary,2871
1892,mary,2794
1893,mary,3887
1894,mary,3943
1895,mary,2713
1896,mary,4924
1897,mary,4587
1898,mary,3900
1899,mary,3526
1900,mary,4551
1901,mary,4472
1902,mary,4791
1903,mary,6630
1904,mary,5025
1905,mary,5445
1906,mary,4089
1907,mary,3616
1908,mary,6742
1909,mary,4891
1910,mary,6910
1911,mary,6632
1912,mary,9092
1913,mary,6168
1914,mary,8231
1915,mary,8159
1916,mary,8060
1917,mary,6726
1918,mary,4523
1919,mary,4962
1920,mary,6061
1921,mary,6281
1922,mary,8498
1923,mary,4085
1924,mary,5001
1925,mary,9322
1926,mary,8302
1927,mary,5090
1928,mary,7391
1929,mary,7606
1930,mary,5148
1931,mary,3672
1932,mary,6148
1933,mary,3228
1934,mary,5134
1935,mary,5963
1936,mary,6041
1937,mary,7085
1938,mary,6814
1939,mary,11023
1940,mary,7320
1941,mary,8584
1942,mary,3374
1943,mary,3475
1944,mary,4236
1945,mary,2651
1946,mary,4503
1947,mary,6224
1948,mary,3222
1949,mary,5570
1950,mary,3757
1951,mary,3395
1952,mary,6161
1953,mary,4890
1954,mary,4098
1955,mary,5559
1956,mary,4624
1957,mary,5830
1958,mary,5402
1959,mary,6175
1960,mary,4302
1961,mary,8443
1962,mary,6766
1963,mary,8932
1964,mary,6053
1965,mary,5097
1966,mary,9665
1967,mary,7857
1968,mary,10859
1969,mary,8553
1970,mary,8385
1971,mary,8005
1972,mary,10301
1973,mary,10375
1974,mary,10143
1975,mary,7616
1976,mary,11054
1977,mary,10303
1978,mary,9890
1979,mary,16601
1980,mary,13448
1981,mary,11546
1982,mary,16252
1983,mary,11967
1984,mary,13283
1985,mary,13174
1986,mary,13068
1987,mary,14897
1988,mary,14707
1989,mary,20071
1990,mary,20346
1991,mary,18596
1992,mary,10527
1993,mary,13262
1994,mary,11269
1995,mary,12549
1996,mary,10427
1997,mary,7605
1998,mary,7557
1999,mary,9338
2000,mary,11838
2001,mary,8453
2002,mary,12688
2003,mary,8323
2004,mary,9078
2005,mary,7483
2006,mary,7110
2007,mary,4879
2008,mary,1527
2009,mary,308
